amount,payment_method,failure_code,attempt_number,prev_successful_payments,prev_failed_payments,customer_ltv,customer_tenure_months,subscription_age_days,days_since_prev_payment,hour_of_day,day_of_week,customer_segment,risk_score,target_recovered
1922.46,credit_card,FRAUD_SUSPECTED,1,14,1,27725.29,3,263,6,2,6,STANDARD,0.9886,0
1307.96,credit_card,INSUFFICIENT_FUNDS,1,12,1,19910.96,41,265,39,6,4,STANDARD,0.7284,1
6375.95,upi,TRANSIENT_FAILURE,1,11,1,21699.11,48,169,37,9,6,STANDARD,0.0433,1
1744.29,credit_card,TRANSIENT_FAILURE,1,13,0,9192.81,34,204,12,8,5,STANDARD,0.048,1
1354.31,upi,EXPIRED_CARD,2,10,0,16042.64,18,171,22,17,0,STANDARD,0.5019,1
2938.42,credit_card,TRANSIENT_FAILURE,1,17,2,34942.22,6,134,20,0,6,VIP,0.0553,1
731.64,net_banking,INSUFFICIENT_FUNDS,1,15,0,19147.49,10,288,32,23,5,STANDARD,0.7033,1
5871.69,net_banking,INSUFFICIENT_FUNDS,1,8,2,12712.25,48,183,3,4,5,STANDARD,0.6193,1
471.17,credit_card,INVALID_REQUEST,2,6,1,7676.73,49,187,15,17,2,ENTERPRISE,0.6644,0
15369.51,net_banking,TRANSIENT_FAILURE,1,10,1,29045.85,20,101,8,10,3,STANDARD,0.1235,1
5378.19,upi,INSUFFICIENT_FUNDS,1,11,1,25340.1,11,234,10,19,3,STANDARD,0.5017,1
975.39,credit_card,FRAUD_SUSPECTED,2,15,1,26663.49,53,263,33,9,1,STANDARD,0.9278,0
219.38,net_banking,TRANSIENT_FAILURE,4,16,4,19572.7,41,20,18,10,3,STANDARD,0.4082,0
6114.64,credit_card,TRANSIENT_FAILURE,2,16,3,17479.18,26,184,1,13,0,STANDARD,0.095,1
4494.84,credit_card,TRANSIENT_FAILURE,4,13,1,29292.55,26,149,5,4,3,STANDARD,0.4195,1
4769.82,debit_card,INSUFFICIENT_FUNDS,2,16,1,15778.35,4,20,43,15,3,ENTERPRISE,0.3942,1
5363.25,credit_card,TRANSIENT_FAILURE,2,10,2,12172.52,56,27,38,4,1,STANDARD,0.4601,1
469.25,credit_card,INSUFFICIENT_FUNDS,1,8,3,7620.57,2,337,16,10,1,STANDARD,0.7155,0
1753.62,net_banking,INSUFFICIENT_FUNDS,1,10,1,13807.27,2,145,10,9,2,VIP,0.4909,0
631.03,net_banking,INSUFFICIENT_FUNDS,1,10,2,17111.31,21,181,17,14,1,VIP,0.5331,1
7159.85,upi,INSUFFICIENT_FUNDS,2,11,0,23285.56,28,339,26,18,0,VIP,0.5908,1
3617.05,debit_card,FRAUD_SUSPECTED,2,11,0,14411.75,37,327,18,3,1,STANDARD,0.9842,0
1606.37,net_banking,INSUFFICIENT_FUNDS,2,14,2,10647.5,27,351,42,19,5,STANDARD,0.7598,0
429.84,credit_card,TRANSIENT_FAILURE,2,14,4,19670.69,8,255,31,22,5,ENTERPRISE,0.1289,1
1503.71,net_banking,TRANSIENT_FAILURE,2,13,1,13966.27,23,166,12,11,6,VIP,0.1065,1
1576.6,credit_card,EXPIRED_CARD,2,13,0,21616.69,25,276,39,0,6,ENTERPRISE,0.0454,1
4777.57,upi,INSUFFICIENT_FUNDS,2,15,0,15532.97,51,5,38,5,0,STANDARD,0.7052,0
3752.11,debit_card,INSUFFICIENT_FUNDS,1,10,0,22783.08,16,297,31,17,2,ENTERPRISE,0.3795,1
7837.88,net_banking,INVALID_REQUEST,1,7,1,20635.57,30,15,31,12,5,ENTERPRISE,0.6505,0
2436.73,upi,INSUFFICIENT_FUNDS,2,12,4,18224.57,2,61,21,23,4,STANDARD,0.9253,1
645.8,upi,TRANSIENT_FAILURE,1,8,0,12733.12,57,310,1,20,5,STANDARD,0.0,1
4571.94,debit_card,FRAUD_SUSPECTED,2,14,0,29688.84,58,316,27,19,4,STANDARD,1.0,0
5206.37,upi,INSUFFICIENT_FUNDS,1,12,0,18449.71,51,78,29,13,3,STANDARD,0.428,1
3083.61,upi,TRANSIENT_FAILURE,1,16,3,28001.81,30,72,3,15,1,STANDARD,0.1016,1
5358.61,credit_card,INSUFFICIENT_FUNDS,2,17,1,33070.28,32,244,36,1,5,STANDARD,0.7313,0
2582.85,debit_card,INSUFFICIENT_FUNDS,2,10,1,12369.61,40,41,26,9,5,STANDARD,0.8175,0
2788.88,credit_card,INSUFFICIENT_FUNDS,2,16,3,21107.97,27,75,3,15,6,STANDARD,0.859,1
2152.35,upi,INVALID_REQUEST,2,12,0,9265.9,13,243,28,7,3,STANDARD,0.8296,0
290.12,credit_card,TRANSIENT_FAILURE,3,7,0,13599.57,54,194,24,22,5,STANDARD,0.6483,1
599.59,net_banking,TRANSIENT_FAILURE,3,10,1,12094.77,15,133,2,8,0,STANDARD,0.5671,0
311.77,debit_card,INVALID_REQUEST,3,15,1,8521.31,6,272,40,8,4,VIP,0.9104,0
3741.05,credit_card,TRANSIENT_FAILURE,1,10,5,8889.33,3,41,1,21,5,VIP,0.0773,1
1520.89,net_banking,INSUFFICIENT_FUNDS,2,14,1,9147.03,21,99,39,5,4,VIP,0.8063,0
2686.53,credit_card,TRANSIENT_FAILURE,1,10,0,10081.01,16,241,3,22,5,STANDARD,0.1541,1
8534.43,debit_card,EXPIRED_CARD,3,10,2,19720.25,16,156,26,2,4,STANDARD,0.4417,1
1203.59,upi,INVALID_REQUEST,1,12,0,13893.92,52,230,37,9,4,STANDARD,0.5991,0
2048.99,credit_card,TRANSIENT_FAILURE,3,10,3,8320.11,48,278,5,4,3,ENTERPRISE,0.1479,1
5130.62,debit_card,TRANSIENT_FAILURE,2,13,2,15178.08,6,269,33,11,5,STANDARD,0.0281,1
1109.32,upi,INVALID_REQUEST,1,9,1,7856.69,47,353,42,5,4,ENTERPRISE,0.6721,0
480.36,net_banking,EXPIRED_CARD,4,18,1,17073.19,29,66,43,21,4,STANDARD,0.7194,0
1397.49,credit_card,TRANSIENT_FAILURE,1,15,1,19366.26,7,45,44,12,2,STANDARD,0.1136,1
815.33,credit_card,TRANSIENT_FAILURE,1,11,0,9145.54,38,364,1,4,4,STANDARD,0.1369,1
9492.33,debit_card,INSUFFICIENT_FUNDS,1,6,0,16009.96,6,100,9,4,1,VIP,0.7142,0
5978.1,debit_card,EXPIRED_CARD,1,14,2,17487.52,55,119,2,8,2,STANDARD,0.2797,1
3712.23,debit_card,TRANSIENT_FAILURE,1,9,1,15954.79,44,298,27,20,5,STANDARD,0.2907,1
7380.32,credit_card,INSUFFICIENT_FUNDS,2,11,1,13334.75,1,308,20,10,1,STANDARD,0.848,1
5897.89,debit_card,TRANSIENT_FAILURE,2,13,2,15374.53,10,106,30,13,1,STANDARD,0.2581,0
922.73,upi,INSUFFICIENT_FUNDS,2,10,0,16219.16,15,293,18,7,5,STANDARD,0.8658,0
8007.85,credit_card,INSUFFICIENT_FUNDS,1,13,0,22955.61,16,25,32,17,2,VIP,0.5536,1
2912.85,credit_card,TRANSIENT_FAILURE,2,16,0,20534.82,58,131,27,12,0,VIP,0.0894,1
5965.72,debit_card,TRANSIENT_FAILURE,1,5,1,8962.39,13,334,4,22,6,STANDARD,0.1495,1
8124.85,credit_card,EXPIRED_CARD,1,10,0,22944.7,18,271,35,5,1,STANDARD,0.4931,1
1539.56,debit_card,TRANSIENT_FAILURE,1,14,1,19247.38,45,193,16,5,4,STANDARD,0.2176,1
608.07,credit_card,INSUFFICIENT_FUNDS,2,15,0,10055.78,36,271,27,19,1,VIP,0.5569,0
1105.4,credit_card,INSUFFICIENT_FUNDS,1,10,0,11487.69,22,54,3,21,6,STANDARD,0.5999,1
2149.7,debit_card,INSUFFICIENT_FUNDS,1,13,1,18149.27,36,56,34,6,1,STANDARD,0.3213,0
6163.4,credit_card,TRANSIENT_FAILURE,2,4,3,12220.83,12,19,30,5,6,VIP,0.1721,1
7099.71,upi,INSUFFICIENT_FUNDS,2,9,1,16204.95,47,109,15,9,1,VIP,0.5047,1
224.42,net_banking,INSUFFICIENT_FUNDS,2,12,0,12491.03,2,218,28,22,4,STANDARD,0.8189,0
2702.07,debit_card,EXPIRED_CARD,2,10,1,13093.91,23,104,35,21,4,ENTERPRISE,0.1101,1
2090.96,debit_card,EXPIRED_CARD,4,13,0,23682.59,57,309,33,14,0,STANDARD,0.6731,1
1079.09,credit_card,INSUFFICIENT_FUNDS,2,17,1,32730.98,42,86,26,6,1,STANDARD,0.7782,0
646.88,upi,TRANSIENT_FAILURE,1,9,1,13190.57,56,312,38,0,1,STANDARD,0.1557,0
1641.68,debit_card,TRANSIENT_FAILURE,4,14,2,16042.25,12,213,5,22,5,STANDARD,0.5197,1
10220.92,credit_card,EXPIRED_CARD,2,12,2,17240.19,45,226,2,5,5,VIP,0.0107,1
1566.34,credit_card,INSUFFICIENT_FUNDS,1,7,1,15135.1,4,182,24,4,2,VIP,0.6044,0
2760.08,credit_card,INSUFFICIENT_FUNDS,2,9,0,17675.01,33,360,33,8,2,STANDARD,0.6742,1
4449.3,credit_card,FRAUD_SUSPECTED,2,9,0,10855.36,23,40,26,21,2,STANDARD,0.8711,0
1781.91,debit_card,EXPIRED_CARD,1,18,3,25224.06,31,241,29,19,3,STANDARD,0.2649,0
12687.29,net_banking,INSUFFICIENT_FUNDS,1,11,2,32462.73,24,242,25,7,0,VIP,0.4905,1
11687.03,upi,INSUFFICIENT_FUNDS,3,10,2,26122.34,11,16,24,15,6,STANDARD,0.8802,0
1215.21,debit_card,TRANSIENT_FAILURE,2,10,3,14082.68,31,331,8,21,4,STANDARD,0.2026,1
2606.81,debit_card,INVALID_REQUEST,1,12,2,21698.02,31,355,40,5,6,VIP,0.6366,0
1452.76,credit_card,INSUFFICIENT_FUNDS,1,17,3,11127.08,7,17,35,1,4,STANDARD,0.6106,1
1373.37,debit_card,EXPIRED_CARD,2,17,0,13943.73,57,159,38,12,3,VIP,0.1916,1
331.55,credit_card,INVALID_REQUEST,3,12,3,8383.27,54,22,6,21,6,STANDARD,0.9106,1
3491.72,credit_card,INSUFFICIENT_FUNDS,3,7,3,13962.65,56,37,33,8,5,STANDARD,0.8176,0
2644.82,debit_card,INSUFFICIENT_FUNDS,1,12,1,24517.97,44,221,44,0,2,STANDARD,0.5457,0
384.98,credit_card,TRANSIENT_FAILURE,2,8,1,16232.49,41,66,39,3,2,STANDARD,0.2441,1
1343.19,credit_card,INSUFFICIENT_FUNDS,1,10,3,19173.38,6,134,41,15,2,STANDARD,0.8922,0
8561.01,credit_card,TRANSIENT_FAILURE,1,15,2,30004.99,48,260,31,15,2,STANDARD,0.0793,1
1158.51,credit_card,INSUFFICIENT_FUNDS,1,15,2,12860.99,30,72,34,20,1,STANDARD,0.5562,0
747.86,debit_card,TRANSIENT_FAILURE,1,8,0,5175.61,34,340,3,3,6,ENTERPRISE,0.0002,1
2552.95,credit_card,INSUFFICIENT_FUNDS,1,15,5,32313.56,22,320,23,19,2,STANDARD,0.7295,0
15054.13,credit_card,INSUFFICIENT_FUNDS,3,10,1,21256.36,30,249,31,15,3,STANDARD,0.8959,0
1170.01,credit_card,INSUFFICIENT_FUNDS,2,9,4,11988.94,54,95,19,2,4,ENTERPRISE,0.4046,1
4103.04,credit_card,EXPIRED_CARD,1,13,2,23018.34,49,123,21,23,3,STANDARD,0.193,1
5218.61,net_banking,EXPIRED_CARD,1,13,2,15335.48,46,89,28,11,6,STANDARD,0.1027,1
1149.67,credit_card,INSUFFICIENT_FUNDS,1,10,0,14838.34,22,167,6,14,5,STANDARD,0.6425,0
4759.62,credit_card,INSUFFICIENT_FUNDS,1,6,1,13317.55,46,21,10,15,3,STANDARD,0.7119,1
1804.83,debit_card,INVALID_REQUEST,1,11,2,22117.15,7,121,7,17,1,STANDARD,0.9153,0
3701.76,credit_card,INSUFFICIENT_FUNDS,1,14,3,18902.04,18,331,11,19,1,STANDARD,0.5273,1
3713.43,debit_card,TRANSIENT_FAILURE,1,6,0,8309.0,52,255,36,15,1,STANDARD,0.1378,1
2885.85,credit_card,TRANSIENT_FAILURE,1,14,2,24731.12,51,157,27,18,5,STANDARD,0.0077,1
531.2,net_banking,INSUFFICIENT_FUNDS,2,12,2,9656.13,26,194,22,6,3,STANDARD,0.8882,0
6512.76,net_banking,TRANSIENT_FAILURE,2,4,3,10722.33,22,200,21,23,2,STANDARD,0.2284,1
1553.84,debit_card,INSUFFICIENT_FUNDS,3,9,3,18785.67,20,174,18,17,2,STANDARD,1.0,0
922.51,upi,TRANSIENT_FAILURE,4,12,1,7120.64,58,326,22,18,6,VIP,0.4619,1
345.7,debit_card,INSUFFICIENT_FUNDS,2,13,2,23391.63,26,39,32,10,0,STANDARD,0.6196,0
3328.22,net_banking,EXPIRED_CARD,1,11,1,16495.17,31,281,1,18,0,STANDARD,0.405,1
4161.48,debit_card,TRANSIENT_FAILURE,2,11,1,21885.81,41,298,16,7,1,VIP,0.0,1
258.54,credit_card,EXPIRED_CARD,1,10,2,19636.71,57,186,43,18,2,STANDARD,0.2944,1
2711.71,credit_card,TRANSIENT_FAILURE,3,4,2,7698.41,16,28,27,9,2,VIP,0.3219,1
1098.88,credit_card,INSUFFICIENT_FUNDS,3,10,2,19868.29,13,357,30,23,3,VIP,0.8894,0
3826.44,debit_card,TRANSIENT_FAILURE,2,6,1,8095.01,15,288,7,7,0,STANDARD,0.3102,1
870.61,credit_card,TRANSIENT_FAILURE,2,13,3,24668.81,13,291,8,1,2,VIP,0.0309,1
4309.74,debit_card,INSUFFICIENT_FUNDS,1,19,2,36749.41,30,309,16,11,2,STANDARD,0.3126,1
1911.36,credit_card,TRANSIENT_FAILURE,2,9,1,6999.91,56,315,37,1,5,VIP,0.1764,1
9861.2,upi,TRANSIENT_FAILURE,3,11,0,21218.37,19,343,12,6,6,ENTERPRISE,0.0,1
717.81,debit_card,INSUFFICIENT_FUNDS,2,7,2,10878.06,39,164,23,12,6,STANDARD,0.9878,0
1659.96,debit_card,TRANSIENT_FAILURE,1,13,1,10364.93,48,160,32,20,3,STANDARD,0.0844,1
621.55,debit_card,INVALID_REQUEST,2,15,0,8942.9,44,314,43,17,0,STANDARD,0.8546,0
9251.67,upi,EXPIRED_CARD,1,10,0,24786.3,10,57,13,3,2,STANDARD,0.2348,0
7544.17,credit_card,INSUFFICIENT_FUNDS,1,9,2,15003.51,3,144,22,1,2,STANDARD,0.6135,0
1244.15,credit_card,INSUFFICIENT_FUNDS,1,9,0,18000.56,33,232,27,17,6,STANDARD,0.7287,1
3975.67,upi,INSUFFICIENT_FUNDS,3,16,1,23607.47,58,46,4,17,6,STANDARD,0.8852,0
6148.19,upi,INSUFFICIENT_FUNDS,3,13,0,15128.67,52,290,17,9,3,STANDARD,0.8569,0
3035.46,debit_card,INSUFFICIENT_FUNDS,1,14,0,27906.94,9,20,11,22,1,STANDARD,0.7876,0
2839.98,credit_card,INVALID_REQUEST,1,13,2,9382.4,4,195,34,5,3,STANDARD,0.864,0
1169.07,credit_card,EXPIRED_CARD,1,10,2,12816.19,13,364,28,9,2,STANDARD,0.5626,1
542.04,credit_card,INVALID_REQUEST,1,13,0,26294.62,37,250,12,8,1,STANDARD,0.883,0
8162.93,net_banking,EXPIRED_CARD,1,5,0,12129.12,19,75,3,20,3,ENTERPRISE,0.1864,0
8273.71,credit_card,INSUFFICIENT_FUNDS,1,15,1,27329.2,21,4,39,5,6,ENTERPRISE,0.3483,1
3709.34,debit_card,INSUFFICIENT_FUNDS,1,7,1,17476.54,28,227,31,2,5,STANDARD,0.708,0
1649.16,upi,INSUFFICIENT_FUNDS,1,18,1,29622.87,3,363,29,3,1,STANDARD,0.7187,0
1703.49,credit_card,EXPIRED_CARD,2,10,2,21615.98,7,346,30,19,3,STANDARD,0.3611,1
4730.63,credit_card,INVALID_REQUEST,1,13,1,27584.16,3,31,29,7,1,STANDARD,0.8397,1
8159.34,credit_card,TRANSIENT_FAILURE,1,15,1,37739.13,1,273,17,6,4,STANDARD,0.1315,1
7833.96,debit_card,EXPIRED_CARD,3,7,2,18207.9,50,143,14,5,1,STANDARD,0.7831,0
5497.47,credit_card,EXPIRED_CARD,2,15,1,23540.21,37,62,23,16,6,STANDARD,0.307,1
3795.59,credit_card,TRANSIENT_FAILURE,3,14,1,13760.9,10,135,19,9,3,STANDARD,0.3125,0
507.62,credit_card,INSUFFICIENT_FUNDS,2,13,1,25074.17,34,317,29,22,1,STANDARD,0.6089,0
817.03,credit_card,FRAUD_SUSPECTED,1,18,1,17820.76,43,191,1,6,3,STANDARD,0.9899,0
8208.81,credit_card,EXPIRED_CARD,1,9,2,21796.94,59,72,15,22,0,ENTERPRISE,0.1311,1
3463.73,credit_card,TRANSIENT_FAILURE,1,14,2,12358.9,50,286,24,11,6,STANDARD,0.1911,1
232.34,credit_card,INVALID_REQUEST,1,12,1,11994.11,56,186,41,14,2,VIP,0.429,0
574.49,upi,TRANSIENT_FAILURE,1,12,1,8264.67,53,291,32,2,2,STANDARD,0.0329,0
4012.07,credit_card,TRANSIENT_FAILURE,1,13,0,17691.09,1,237,23,15,0,STANDARD,0.0942,1
217.76,debit_card,TRANSIENT_FAILURE,1,20,4,15021.27,37,126,17,11,5,STANDARD,0.1325,0
813.61,debit_card,INSUFFICIENT_FUNDS,1,16,1,23198.36,20,201,9,2,2,ENTERPRISE,0.3702,0
2984.94,upi,EXPIRED_CARD,1,12,0,26650.61,8,97,11,2,6,STANDARD,0.2445,0
4320.6,credit_card,TRANSIENT_FAILURE,1,13,3,22114.18,36,333,33,7,1,STANDARD,0.0946,1
3894.05,credit_card,INSUFFICIENT_FUNDS,2,10,3,12819.43,2,255,32,12,4,STANDARD,0.8849,1
1088.82,upi,TRANSIENT_FAILURE,2,14,0,28027.92,1,331,17,5,2,STANDARD,0.1458,0
4558.96,upi,TRANSIENT_FAILURE,3,17,1,17706.85,42,301,3,7,5,VIP,0.2062,1
1147.88,credit_card,INVALID_REQUEST,1,12,0,19176.8,21,269,27,6,3,STANDARD,0.8523,0
1577.72,credit_card,INSUFFICIENT_FUNDS,4,10,4,10907.22,11,7,42,13,6,STANDARD,1.0,0
5003.25,upi,INSUFFICIENT_FUNDS,3,11,0,26747.4,5,115,43,19,4,VIP,0.5696,1
3870.71,credit_card,TRANSIENT_FAILURE,1,5,2,12816.04,31,79,30,19,1,ENTERPRISE,0.0943,1
6821.85,upi,TRANSIENT_FAILURE,1,12,0,23618.32,10,352,30,23,4,ENTERPRISE,0.0,1
3951.35,net_banking,EXPIRED_CARD,1,15,0,12108.11,29,98,35,10,0,STANDARD,0.2492,1
3140.16,credit_card,INVALID_REQUEST,1,11,2,21000.01,56,340,15,0,2,STANDARD,0.7798,0
544.25,upi,TRANSIENT_FAILURE,1,16,2,9448.61,47,198,17,2,6,STANDARD,0.014,1
1804.46,debit_card,INSUFFICIENT_FUNDS,2,18,1,20201.59,59,335,21,20,6,STANDARD,0.7055,1
1278.56,upi,INSUFFICIENT_FUNDS,1,16,4,14992.61,33,72,9,21,0,STANDARD,0.4483,1
1178.95,debit_card,INSUFFICIENT_FUNDS,1,8,1,6835.44,29,282,3,22,4,ENTERPRISE,0.6222,1
12843.08,credit_card,TRANSIENT_FAILURE,1,15,2,42581.18,29,111,27,11,0,STANDARD,0.2155,1
1947.86,upi,INSUFFICIENT_FUNDS,1,10,3,18082.17,19,199,26,0,0,STANDARD,0.8386,0
7991.19,credit_card,TRANSIENT_FAILURE,3,15,2,17610.19,8,146,39,9,3,STANDARD,0.2851,1
3690.67,net_banking,EXPIRED_CARD,4,9,2,9208.24,55,260,7,8,1,STANDARD,0.8336,0
5743.39,debit_card,TRANSIENT_FAILURE,1,7,1,13249.65,7,120,9,13,1,STANDARD,0.1821,0
2644.52,credit_card,TRANSIENT_FAILURE,3,7,1,12403.46,31,143,35,20,2,VIP,0.2821,1
3210.55,credit_card,INSUFFICIENT_FUNDS,2,10,1,17558.49,5,155,9,17,3,VIP,0.6984,0
2574.03,upi,TRANSIENT_FAILURE,1,10,1,16916.48,55,242,41,4,6,STANDARD,0.1302,1
960.25,credit_card,EXPIRED_CARD,1,13,0,12296.05,10,50,26,13,3,VIP,0.1653,1
4686.17,upi,TRANSIENT_FAILURE,1,10,1,21288.89,39,128,41,13,5,ENTERPRISE,0.0,1
1353.52,credit_card,INVALID_REQUEST,1,11,1,7931.57,6,292,14,6,3,VIP,0.6984,1
286.16,debit_card,INVALID_REQUEST,1,16,3,20783.48,26,271,16,12,6,VIP,0.5314,0
3829.39,upi,EXPIRED_CARD,2,12,0,21016.23,41,355,9,0,4,STANDARD,0.3468,1
882.27,credit_card,INVALID_REQUEST,2,12,0,24789.76,35,207,39,3,3,STANDARD,0.8409,0
10073.79,credit_card,EXPIRED_CARD,1,7,3,19733.03,59,80,41,18,1,VIP,0.1507,1
